Question	Type	Options	Answer	Score
What command determines the way text is positioned around an object? 	fb	none	Text Wrap	2.5
What gallery previews several text and picture location options?	fb	none	Position	2.5
In order to convert text to WordArt select text and on the Insert tab select ___.	fb	none	WordArt	2.5
___ is a visual representation of information that can help communicate a message more effectively.	fb	none	SmartArt	2.5
When the file size of an image is reduced by resolution, it is ___.	fb	none	compressed	2.5
From what tab can you add graphics to your Word document?	mc	Home, Insert, Design, Reference	b	2.5
After applying a picture border, to what does “weight” refer?	mc	heaviness of the drop shadow, thickness of the border, thickness of the bottom compared to the top, amount of color saturation	b	2.5
How do you select multiple layers in an object?	mc	Ctrl + A for Select All, highlight all layers, hold Ctrl key and select layers, click each layer in succession	c	2.5
From what tab can you add a SmartArt object?	mc	Home, Insert, Design, Add-Ins	b	2.5
What is the object type of a picture in a precise location with text wrapped around the object?	mc	inline, offline, floating, stationary	c	2.5
What is the current standard number of spaces after a punctuation mark?	fb	none	one	2.5
When a word is added to the AutoCorrect Exception List, it is also added to the ___.	fb	none	dictionary	2.5
A person must sign in to their Microsoft account in order for their personal information to be displayed on the ___.	fb	none	Person Card	2.5
What feature prevents anyone from turning Track Changes off?	fb	none	Lock Tracking	2.5
What option provides a reference with similar words used to substitute for another word?	fb	none	Thesaurus	2.5
Spelling & Grammar checking can be found on which tab?	mc	Home, Insert, Reference, Review	d	2.5
Where can you set the preferences used during the Spelling & Grammar check?	mc	Review tab  Define, Home tab Select, File tab Options,  Reference Manage Sources	c	2.5
How can you can locate the AutoCorrect options?	mc	Review Define, File Options Proofing, File Options General, View Macro	b	2.5
From the AutoCorrect dialog box, how do you disable AutoCorrect?	mc	deselect AutoCorrect option, deselect Replace text as you type, select AutoCorrect Off option, deselect Automatically Use Suggestions from the Spelling Checker	b	2.5
From the AutoCorrect Exceptions dialog box, you can select the option to ________________.	mc	automatically remove spelling errors, convert numbers to text, automatically add words to list, ignore capital letters	c	2.5
Use the ___ format to make writing a research paper more manageable and to keep organized.	fb	none	outline	2.5
A ___ is a line of text that describes an object and can appear above or below it.	fb	none	caption	2.5
In order to activate the Position options within the Caption dialog box, you must first ___ an object.	fb	none	select	2.5
In order to automatically display the page number in the upper right corner, you add a ___ on every page.	fb	none	header	2.5
A ___ is preformatted or custom information displayed in the same location at the bottom of every page.	fb	none	footer	2.5
You wish to create a document that displays a complete listing of all sources referenced in your paper. Which Word feature provides the opportunity to create such a document?	mc	Captions, Bibliography,  Table of Contents,  Citations	b	2.5
The MLA style, adopted as a style of choice by many colleges and universities, shows how to do which of the following to a research paper?	mc	save, format, print, write	b	2.5
In order to avoid plagiarism, you must create a __________ to give credit to an original source	mc	bookmark, table of contents, citation, reference	c	2.5
Sources are compiled and listed in which section of a document?	mc	table of contents, bibliography, title page, acknowledgement page	b	2.5
The master list can be used in any document and contains which of the following?	mc	bookmarks, sources, captions, footnotes	b	2.5
___ are useful for creating multiple documents that have the same basic content and personalizing them with unique information from a data source.	fb	none	mail merges	2.5
___ in a table contain like information such as first name, last name, address, etc.	fb	none	fields	2.5
A ___ is a file that contains information to be merged in the main document	fb	none	data source	2.5
When open, the Mail Merge Recipients dialog box expands to display all fields and ___.	fb	none	records	2.5
Use the ___ button in the Insert Address Block dialog box to fix missing or out-of-order fields	fb	none	Match Fields	2.5
Which of the following mail merge documents contains text and graphics that are the same for each version of the merged document? 	mc	main document, data source, merged document, blank document	a	2.5
How many steps are included in the Mail Merge Wizard?	mc	1, 2, 4, 6	d	2.5
You wish to use the same letter sent to employees last quarter. Which starting document type would you select in the Mail Merge Wizard?	mc	Use the current document, Start from a template, Start from existing document, Open new document	c	2.5
Which of the following extensions represents a data source file created in Access?	mc	.docx, xlsx, .pst, .accdb	d	2.5
How do you choose to exclude specific recipients in the Mail Merge Recipients dialog box?	mc	delete the recipient, hide the recipient, uncheck the check box, copy the recipient	c	2.5
